IFX,SDF
11.41,21.95
11.28,22.45
11.29,22.31
11.76,21.19
12.27,21.5
12.44,21.69
11.61,21.68
11.51,22.7
11.6,23.16
11.44,23.02
11.57,22.97
11.74,23
11.58,22.92
11.69,23
11.36,23
11.41,23
11.52,23
11.82,23.14
12,22.93
11.69,22.95
11.9,23.11
12.04,24
12.2,24.11
11.85,24.5
11.68,25
11.84,24.68
12.06,25.4
11.96,25.38
11.87,25.43
11.82,25.67
11.64,25.74
11.55,25.64
11.72,25.93
11.84,25.88
11.93,25.8
11.52,26.25
11.29,27.5
11.1,26.4
11.46,26.02
11.35,26
11.41,26.31
11.32,26.2
11.74,26.2
11.69,26.26
11.98,26.3
11.83,26.02
11.82,26.27
11.58,26.06
11.41,26.18
11.06,25.95
11.25,25.89
10.88,25.55
10.65,25.41
10.95,25.96
11.06,25.45
11.2,24.85
10.88,24.35
10.92,24.55
11.15,25.3
11.02,25.39
11.09,25.85
11.54,25.74
11.63,25.85
11.9,25.95
12.15,25.95
12.39,26.35
12.89,26.85
12.61,26.7
12.4,26.9
12.64,26.88
12.64,26.88
12.64,26.88
12.57,26.9
12.32,27.24
11.95,27
11.75,27.2
11.74,27.73
12.02,28.06
11.37,28.22
11.36,27.75
11.3,28
11.33,28.02
11.33,28
10.94,28.09
10.82,27.21
10.69,27.84
10.95,27.35
10.83,26.65
10.81,27.09
10.45,25.97
10.84,25.75
10.48,24.48
10.7,25.18
10.54,24.99
10.73,25.81
10.51,25.84
10.18,24.95
10.31,25.36
10.65,26.1
10.55,26.04
10.58,26.19
10.67,25.93
10.73,25.83
10.9,25.77
11.04,25.76
11.07,26.28
11.03,26.21
10.77,26
10.79,26.16
10.76,26.33
11.03,26.23
11.18,26.7
11.29,26.73
11.13,26.55
11.11,26.25
10.89,26.01
10.72,25.7
10.86,25.82
10.88,25.95
10.64,26.42
10.56,27.25
10.64,27.2
10.55,26.81
10.65,27.02
10.82,27.77
10.84,27.61
10.97,27.75
11.04,27.74
11.03,27.91
10.91,28.1
10.7,28.04
10.68,28.12
10.44,27.39
10.21,27.4
10.05,27.39
10.13,27.57
9.85,27.56
9.81,27.76
9.67,27.6
9.52,28.4
9.63,28.37
9.3,28.13
9.57,27.99
9.8,28.15
9.45,27.89
9.38,28.14
9.01,27.9
9.05,27.81
8.94,28.1
9.16,30.15
9.09,30.77
8.92,29.98
8.9,30.27
8.46,30.6
8.57,31.1
8.23,30.77
8.15,30.51
8.34,30.7
8.08,30.87
7.8,32.34
7.85,32
8.17,32.36
8.2,32.43
8.37,32.9
8.39,33
8.26,32.72
8.49,32.7
8.43,33.3
8.32,33.08
8.48,33.08
8.45,32.87
8.36,32.61
8,32.6
8.17,32.6
8.13,32.8
7.81,33.88
7.97,34.62
7.95,34.73
7.82,34.8
7.85,34.58
8.25,34.6
8.47,34.67
8.37,34.43
8.32,33.89
8.46,33.66
8.49,33.8
8.61,33.75
8.77,34.64
8.5,34.35
8.36,34.5
8.41,34.22
8.25,34.58
8.25,34.5
8.31,34.6
8.22,34.64
8.49,34.95
8.73,34.79
8.75,34.95
8.75,34.99
8.76,34.7
8.57,34.85
8.47,35.06
8.24,34.82
8.45,34.68
8.32,34.65
8.29,33.7
8.22,33.44
8.33,33.5
8.27,32.8
8.35,32.99
8.35,32.94
8.14,32.47
8.16,32.35
8.34,32.47
8.48,32.6
8.54,32.66
8.45,32.85
8.54,33.23
8.62,33.48
8.5,33.39
8.62,33.68
8.65,33.18
8.53,33.63
8.5,33.53
8.55,33.62
8.57,33.43
8.66,34.45
8.58,34.68
8.95,36.2
9,36.39
8.99,37.09
8.86,36.94
8.69,37.4
8.5,37.31
8.45,36.9
8.47,36.48
8.41,37.03
8.33,37.92
8.34,38.2
8.43,38.55
8.49,39.2
8.41,39.28
8.47,39.43
8.32,39.12
8.08,38.53
8.15,38.32
8.17,38.94
8.16,38.75
8.23,39.11
8.22,39.4
7.97,39.09
7.9,39.11
7.92,38.78
8.02,39.14
7.96,39.2
7.96,39.2
7.91,38.99
7.96,38.89
7.95,39.24
7.98,39.1
7.98,39.1
8.12,39.66
7.98,39.75
7.9,37.96
7.92,36.48
7.95,37.24
7.96,37.28
7.71,36.8
7.48,37
7.55,36.75
7.57,36.8
7.5,36.55
7.37,36.2
7.38,36.3
7.24,36.37
7.18,36.61
7,36.79
6.95,36.88
7.08,36.8
7.13,36.5
7.02,37.77
7.12,38.45
7.24,38.71
7.15,39.36
6.95,39.44
7.09,39.06
7.23,39.52
7.5,39.59
7.52,40.03
7.45,39.67
7.56,41.15
7.73,41.16
7.7,41.2
7.55,41.62
7.45,41.41
7.51,41.86
7.68,42.15
7.85,41.5
7.84,41.39
8,41.44
8.07,42.19
7.88,42.59
7.92,43
8,43
7.77,43.51
7.7,43.73
7.65,43.58
7.66,43.93
7.62,44.26
7.56,43.1
7.6,42.77
7.6,42.7
7.49,42.84
7.37,42.4
7.35,43.05
7.24,43.83
7.26,42.95
7.33,43.12
7.35,41.8
7.45,42.7
7.45,42.7
7.45,42.7
7.31,42.64
7.35,43.34
7.4,43.62
7.43,44.97
7.3,44.49
7.21,44.06
7.34,44.3
7.39,44.49
7.47,44.87
7.38,44.96
7.34,44.95
7.31,45.28
7.25,45.64
7,43.4
6.84,42.11
6.85,42.67
6.9,42.2
6.95,42.2
6.95,42.34
7.09,42.59
6.92,43
6.83,41.9
6.59,39.55
6.43,39.19
6.58,40.71
6.61,40.58
6.66,39.85
6.94,40.95
7.05,42.02
7.05,41.2
6.89,41.85
6.83,42.99
6.9,42.01
7.12,40.7
7.1,40.12
7.07,40.12
7.29,40.55
7.26,41.52
7.26,42
7.29,42.82
7.14,43.05
7,42.18
7.12,42.74
7.2,42.91
7.1,43.07
7.12,43.25
7.23,43.2
7.45,43.46
7.52,43.7
7.27,44
7.32,44.04
7.33,43.9
7.33,44.09
7.71,44.38
7.63,44.37
7.65,44.3
7.53,44.35
7.69,44.88
7.71,46.5
7.63,46.33
7.61,45.3
7.77,45.77
7.95,45.42
7.68,45.42
7.56,44.93
7.64,46.42
7.75,46.68
7.72,45.78
7.75,46.99
7.74,47.35
7.76,46.81
7.77,46.96
7.53,46.53
7.83,46.67
8.09,47.11
8.07,47.04
8.1,46.6
8.39,46.72
8.41,46.55
8.31,47.74
8.53,48.12
8.54,48.7
8.56,49.08
8.43,50.26
8.24,50.05
8.35,50
8.14,49.9
8.09,52
8.13,51.75
8.05,51.5
8.28,51.88
8.27,51.93
8.11,52.62
7.88,51.88
7.88,52.27
7.96,52.5
8.12,52.1
7.78,52.46
7.7,52.36
7.68,52.46
7.57,52.35
7.77,51.94
7.89,50.76
7.99,51
8,51.98
8.01,50.85
7.95,50.31
7.89,50.49
7.7,50.85
7.71,51.02
7.6,51.17
7.57,51.07
7.52,52.83
7.48,53.9
7.55,54.38
7.72,54.85
7.85,55.45
7.92,56.32
8.06,55.16
8.04,55.53
8.01,54.48
7.92,53.84
7.91,54.57
7.93,55.2
8,55.02
7.99,55.85
7.9,55.9
7.75,55.84
7.74,55.47
7.96,56.9
7.77,57.7
7.99,57.9
7.98,58.4
8.18,58.74
8.32,58.31
8.51,59
8.3,59.1
8.14,57.9
8.15,57.2
8.16,57.87
8.26,58.25
8.07,57.48
8.03,55.33
8.16,53.56
8.14,52.93
8.11,54.89
7.85,52.01
7.9,52.78
7.94,52.47
7.98,54
7.93,54.23
7.94,55.02
7.65,53.5
7.6,53.55
7.8,54.73
7.8,55.72
7.86,54.9
8.1,54.82
8.08,54.45
8.16,53.98
8.07,52.62
8.19,51.76
8.27,52.28
8.44,52.85
8.41,54.57
8.28,54.38
8.14,54.39
7.95,54.68
8,54.96
7.92,54.99
7.78,53.74
7.81,53.12
7.79,53.15
7.76,53.43
7.78,53
7.71,53.03
7.6,53.73
7.85,53.2
7.94,53.36
7.73,53.06
7.87,52.92
7.76,52.98
7.85,52.23
7.78,52.96
7.84,52.25
7.67,51
7.72,51.37
7.75,51.63
7.83,52.07
7.85,51.8
7.76,51.98
7.88,52.4
7.82,51.84
7.8,52.37
7.8,52.37
7.8,52.61
7.78,51.4
7.78,52.17
7.73,51.05
